chromosome,start,end,summit,peakName,untreated_GAF_intensity,RNAi_GAF_intensity,replicate_overlap,ChIPchip_overlap,number_GAGA_Jaspar,Jaspar_strand,Jaspar_hcGAF,location,total_GROseq_reads
chr2L,19399441,19399620,19399565,MACS_peak_621-6,154.032099,62.1410807,replicate 1,yes,0,no element,no,intergenic,8.255336747
chr2L,19409451,19409811,19409675,MACS_peak_622-1,311.69726,425.091796,none,no,0,no element,no,genic,23.60499179
chr2L,19409821,19410261,19409945,MACS_peak_622-2,607.689427,503.688251,none,no,0,no element,no,genic,37.93660055
chr2L,19410271,19410630,19410405,MACS_peak_622-3,332.922096,700.367571,none,no,0,no element,no,genic,12.6800462
chr2L,19413471,19413631,19413585,MACS_peak_623-1,47.6409192,90.8218801,replicate 1,yes,0,no element,no,genic,19.43665101
chr2L,19413641,19414341,19414115,MACS_peak_623-2,9890.65975,4907.2691,both replicates,yes,1,+,yes,genic,12.0268127
chr2L,19414351,19415151,19414585,MACS_peak_623-3,10059.38,7006.46926,both replicates,yes,1,+,yes,promoter & genic,48.45482242
chr2L,19415161,19415601,19415455,MACS_peak_623-4,733.909321,652.586739,replicate 1,yes,0,no element,no,genic,14.73833205
chr2L,19415611,19415820,19415815,MACS_peak_623-5,46.215332,195.306376,replicate 1,yes,0,no element,no,genic,17.55091307
chr2L,19422911,19423841,19423625,MACS_peak_624-1,19337.798,17647.3815,both replicates,yes,1,-,yes,promoter & genic,116.4818846
chr2L,19423851,19424421,19424020,MACS_peak_624-2,10940.2663,5381.29666,both replicates,yes,1,+,yes,promoter & genic,28.6114486
chr2L,19424431,19424841,19424605,MACS_peak_624-3,1109.22301,689.918004,replicate 1,yes,0,no element,no,genic,37.74433549
chr2L,19424851,19425681,19425305,MACS_peak_624-4,5746.10649,2869.71096,both replicates,yes,0,no element,no,genic,33.30976751
chr2L,19425691,19427100,19426625,MACS_peak_624-5,10989.1364,5990.57792,both replicates,yes,1,+,yes,promoter & genic,20.3240598
chr2L,19463631,19464161,19463955,MACS_peak_625-1,1705.13678,849.752737,both replicates,yes,3,-,yes,intergenic,0.52997835
chr2L,19464171,19464370,19464230,MACS_peak_625-2,142.929283,250.151248,replicate 1,yes,0,no element,no,promoter,1.732907251
chr2L,19516921,19517121,19517060,MACS_peak_626-1,187.919324,86.5135399,none,yes,0,no element,no,promoter & genic,0.15283075
chr2L,19517131,19517341,19517265,MACS_peak_626-2,166.755869,126.660486,replicate 1,yes,0,no element,no,promoter,0
chr2L,19517351,19518030,19517650,MACS_peak_626-3,1480.98863,1030.95542,replicate 1,yes,2,+,yes,promoter,0.52997835
chr2L,19519361,19520251,19519835,MACS_peak_627-1,5306.60509,2200.81301,both replicates,yes,1,+,yes,genic,1.1314428
chr2L,19520261,19520730,19520395,MACS_peak_627-2,501.413865,788.492676,replicate 1,yes,0,no element,no,genic,0.6828091
chr2L,19527721,19529151,19528385,MACS_peak_628-1,25733.4053,13771.5512,both replicates,yes,0,no element,no,genic,450.1440591
chr2L,19529161,19529690,19529305,MACS_peak_628-2,626.60539,584.863217,replicate 1,yes,0,no element,no,genic,8.632484347
chr2L,19546661,19546711,19546705,MACS_peak_629-1,60.8166975,162.140196,none,no,0,no element,no,genic,41.74751037
chr2L,19546721,19547281,19546975,MACS_peak_629-2,647.261822,497.540644,none,yes,0,no element,no,promoter,65.41660525
chr2L,19547291,19547941,19547695,MACS_peak_629-3,872.405961,721.562773,replicate 1,yes,0,no element,no,intergenic,12.6997633
chr2L,19547951,19548821,19548425,MACS_peak_629-4,15158.7585,7680.49465,both replicates,yes,1,+,yes,intergenic,83.70209602
chr2L,19548831,19549010,19548880,MACS_peak_629-5,87.0715991,66.3286185,replicate 1,yes,0,no element,no,intergenic,51.53115472
chr2L,19549141,19549291,19549160,MACS_peak_630-1,22.3226275,117.200116,replicate 1,yes,0,no element,no,intergenic,42.41798495
chr2L,19549301,19550030,19549605,MACS_peak_630-2,2329.37329,1339.48214,replicate 1,yes,1,-,yes,promoter,417.6673599
chr2L,19570271,19570741,19570595,MACS_peak_631-1,568.189607,1056.88401,replicate 1,yes,0,no element,no,genic,44.99886687
chr2L,19570751,19571401,19571255,MACS_peak_631-2,2840.5201,1613.38257,replicate 1,yes,1,-,yes,genic,32.53575526
chr2L,19571411,19572421,19571970,MACS_peak_631-3,28654.9774,15509.5712,both replicates,yes,5,-,yes,genic,61.04366559
chr2L,19572431,19573451,19572695,MACS_peak_631-4,20598.765,14119.4433,both replicates,yes,2,+,yes,promoter & genic,272.1821661
chr2L,19573461,19573721,19573535,MACS_peak_631-5,423.840728,423.023406,replicate 1,yes,0,no element,no,genic,24.75615162
chr2L,19573731,19573920,19573865,MACS_peak_631-6,128.891355,134.514731,replicate 1,yes,0,no element,no,genic,26.11191127
chr2L,19574041,19574251,19574190,MACS_peak_632-1,166.925148,281.813678,replicate 1,yes,0,no element,no,genic,24.12511152
chr2L,19574261,19574631,19574565,MACS_peak_632-2,447.941716,605.115636,replicate 1,yes,0,no element,no,genic,17.4079408
chr2L,19574641,19575291,19575105,MACS_peak_632-3,14036.2152,7802.38592,both replicates,yes,0,no element,no,genic,38.78457496
chr2L,19575301,19575871,19575575,MACS_peak_632-4,10436.1256,4480.58702,both replicates,yes,0,no element,no,promoter & genic,61.18663773
chr2L,19575881,19576411,19576180,MACS_peak_632-5,13905.7256,5646.91438,both replicates,yes,1,+,yes,genic,75.30869426
chr2L,19576421,19577181,19576635,MACS_peak_632-6,9373.83907,3705.5036,both replicates,yes,0,no element,no,genic,80.20175439
chr2L,19577191,19577540,19577285,MACS_peak_632-7,401.982002,607.157709,replicate 1,yes,0,no element,no,promoter & genic,53.41936894
chr2L,19735211,19735421,19735340,MACS_peak_633-1,148.659513,72.5981436,replicate 1,no,0,no element,no,genic,24.56388675
chr2L,19735431,19736171,19735915,MACS_peak_633-2,2943.47084,1808.67287,both replicates,no,0,no element,no,promoter & genic,50.4539571
chr2L,19736181,19736360,19736295,MACS_peak_633-3,75.9174389,228.41471,replicate 1,no,0,no element,no,promoter & genic,17.05298661
chr2L,19763201,19764351,19764170,MACS_peak_634-1,5197.46723,3084.38915,both replicates,yes,0,no element,no,promoter,74.52977458
chr2L,19764361,19765261,19764695,MACS_peak_634-2,16404.3501,8063.44913,both replicates,yes,2,+,yes,intergenic,0.825781301
chr2L,19765271,19765331,19765305,MACS_peak_634-3,57.0686975,50.6686027,replicate 1,yes,0,no element,no,intergenic,0.3056615
chr2L,19765341,19765781,19765485,MACS_peak_634-4,437.840426,423.389921,none,yes,0,no element,no,intergenic,0.15283075
chr2L,19765791,19765830,19765795,MACS_peak_634-5,84.7862967,86.357814,none,yes,0,no element,no,genic,0
chr2L,19790611,19790851,19790730,MACS_peak_635-1,180.276453,92.9538656,replicate 1,yes,0,no element,no,genic,14.70875631
chr2L,19790861,19791201,19791065,MACS_peak_635-2,944.275394,714.788327,replicate 1,yes,0,no element,no,genic,14.63727017
chr2L,19791211,19791431,19791365,MACS_peak_635-3,1063.01847,727.965477,both replicates,yes,1,+,yes,genic,35.82654542
chr2L,19791441,19792100,19791625,MACS_peak_635-4,1989.99365,693.106886,both replicates,yes,0,no element,no,genic,120.2089742
chr2L,19812151,19812660,19812415,MACS_peak_636-1,1068.49281,637.499114,replicate 1,yes,0,no element,no,promoter,0.672950551
chr2L,19934031,19934151,19934075,MACS_peak_637-1,123.356291,228.056315,none,yes,0,no element,no,genic,0
chr2L,19934161,19934621,19934335,MACS_peak_637-2,439.411311,536.771188,none,yes,0,no element,no,genic,0
chr2L,19934631,19934701,19934675,MACS_peak_637-3,101.625067,55.4114512,none,yes,0,no element,no,genic,0
chr2L,19934711,19935681,19935215,MACS_peak_637-4,7941.1779,4056.5539,both replicates,yes,0,no element,no,promoter & genic,46.02924773
chr2L,19935691,19935770,19935750,MACS_peak_637-5,170.618151,238.858714,replicate 1,yes,0,no element,no,genic,0.15283075
chr2L,19942141,19942341,19942280,MACS_peak_638-1,159.910691,13.8221553,replicate 1,yes,0,no element,no,genic,0
chr2L,19942351,19942850,19942525,MACS_peak_638-2,1314.13735,897.710038,replicate 1,yes,0,no element,no,genic,0.15283075
chr2L,20084471,20084491,20084485,MACS_peak_639-1,37.3659618,104.508648,replicate 1,yes,0,no element,no,genic,11.1911729
chr2L,20084501,20084651,20084625,MACS_peak_639-2,29.5932298,108.708323,replicate 1,yes,0,no element,no,genic,11.6200895
chr2L,20084661,20085261,20085105,MACS_peak_639-3,3461.39727,1438.58077,both replicates,yes,2,-,yes,promoter & genic,108.0959098
chr2L,20085271,20085860,20085390,MACS_peak_639-4,589.627084,619.80138,both replicates,yes,0,no element,no,promoter & genic,1.28427355
chr2L,20174751,20175480,20175055,MACS_peak_640-1,1457.5273,1053.57983,both replicates,no,1,+,no,intergenic,0
chr2L,20204531,20204761,20204645,MACS_peak_641-1,113.440201,319.211421,none,no,0,no element,no,intergenic,0
chr2L,20204771,20205360,20204965,MACS_peak_641-2,1129.54672,794.532078,none,no,2,-,no,intergenic,0
chr2L,20222711,20223360,20223035,MACS_peak_642-1,613.201513,780.471838,none,no,0,no element,no,intergenic,700.3061659
chr2L,20302271,20302481,20302380,MACS_peak_643-1,100.793293,107.459036,none,yes,0,no element,no,intergenic,0
chr2L,20302491,20302681,20302595,MACS_peak_643-2,209.344389,154.810605,none,yes,0,no element,no,intergenic,0.22431685
chr2L,20302691,20303080,20303025,MACS_peak_643-3,315.203802,273.232183,none,yes,0,no element,no,intergenic,0.52997835
chr2L,20310491,20311691,20311115,MACS_peak_644-1,18242.0701,12810.9708,both replicates,yes,0,no element,no,promoter,89.31739929
chr2L,20311701,20311960,20311855,MACS_peak_644-2,223.839844,433.965644,replicate 1,yes,0,no element,no,genic,8.856801152
chr2L,20333811,20333961,20333880,MACS_peak_645-1,50.8149703,258.380234,replicate 2,yes,0,no element,no,genic,16.19515345
chr2L,20333971,20334531,20334355,MACS_peak_645-2,815.486937,769.410372,replicate 2,yes,0,no element,no,genic,22.00519806
chr2L,20334541,20334711,20334680,MACS_peak_645-3,139.897617,50.7780935,none,yes,0,no element,no,genic,28.11104578
chr2L,20334721,20335140,20334850,MACS_peak_645-4,371.534493,632.460134,none,yes,0,no element,no,genic,31.96386638
chr2L,20416941,20417671,20417475,MACS_peak_646-1,6447.69804,2356.49392,both replicates,yes,1,+,yes,promoter & genic,56.04706736
chr2L,20417681,20418360,20417815,MACS_peak_646-2,3927.73293,1835.01699,both replicates,yes,2,-,yes,genic,41.90034141
chr2L,20428231,20428661,20428525,MACS_peak_647-1,342.942221,442.545793,none,no,0,no element,no,intergenic,0.60146445
chr2L,20428671,20429741,20429085,MACS_peak_647-2,4415.27792,1526.97155,replicate 1,yes,0,no element,no,promoter,5.667072549
chr2L,20429751,20429910,20429895,MACS_peak_647-3,102.890504,120.178514,replicate 1,yes,0,no element,no,genic,1.141301349
chr2L,20494151,20494211,20494180,MACS_peak_648-1,68.5443934,74.8105102,replicate 1,yes,0,no element,no,intergenic,0
chr2L,20494221,20494901,20494565,MACS_peak_648-2,2068.40468,1035.03612,replicate 1,yes,0,no element,no,promoter,0
chr2L,20494911,20495060,20495055,MACS_peak_648-3,63.5578444,69.057071,replicate 1,no,0,no element,no,genic,0
chr2L,20637381,20637611,20637510,MACS_peak_649-1,182.370878,88.7915576,none,no,0,no element,no,intergenic,1.742765799
chr2L,20637621,20637911,20637755,MACS_peak_649-2,165.047445,360.824636,replicate 1,no,0,no element,no,intergenic,3.801051646
chr2L,20637921,20638291,20638160,MACS_peak_649-3,415.762912,676.796811,replicate 1,no,0,no element,no,intergenic,2.03856875
chr2L,20638301,20638910,20638515,MACS_peak_649-4,2427.29462,994.341403,both replicates,no,10,+,no,intergenic,23.20812693
chr2L,20713431,20713611,20713505,MACS_peak_650-1,67.5016362,138.255509,none,yes,0,no element,no,genic,0.22431685
chr2L,20713621,20713891,20713750,MACS_peak_650-2,320.467955,232.004419,none,yes,0,no element,no,genic,0.3771476
chr2L,20713901,20715271,20714695,MACS_peak_650-3,14889.6371,8068.71574,both replicates,yes,5,+,yes,promoter,30.7806543
chr2L,20715281,20715460,20715315,MACS_peak_650-4,143.838253,163.973543,replicate 1,yes,0,no element,no,intergenic,0
chr2L,20715681,20716790,20716175,MACS_peak_651-1,9217.81031,4369.87396,both replicates,yes,1,+,yes,intergenic,22.06682549
chr2L,20757931,20758431,20758355,MACS_peak_652-1,551.856291,570.049436,replicate 1,yes,0,no element,no,genic,85.09976628
chr2L,20758441,20759270,20758855,MACS_peak_652-2,1571.71098,1574.24019,replicate 1,yes,0,no element,no,genic,8.632484347
chr2L,20759311,20759511,20759495,MACS_peak_653-1,91.2922836,130.304455,replicate 1,yes,0,no element,no,genic,14.80981815
chr2L,20759521,20760070,20759655,MACS_peak_653-2,1002.61845,695.404741,replicate 1,yes,1,-,yes,genic,11.4771173
chr2L,20791601,20791791,20791740,MACS_peak_654-1,102.438395,150.383199,none,yes,0,no element,no,genic,3.332700849
chr2L,20791801,20792071,20791935,MACS_peak_654-2,264.541176,224.295276,replicate 1,yes,0,no element,no,genic,4.545488298
chr2L,20792081,20792521,20792385,MACS_peak_654-3,816.600563,374.312351,replicate 1,yes,0,no element,no,genic,6.788656801
chr2L,20792531,20793121,20792785,MACS_peak_654-4,7142.47558,2740.16278,both replicates,yes,2,+,yes,genic,6.7171707
chr2L,20793131,20793211,20793175,MACS_peak_654-5,101.691839,276.725064,replicate 1,yes,0,no element,no,genic,7.328493699
chr2L,20793221,20793361,20793270,MACS_peak_654-6,150.598159,295.579225,replicate 1,yes,0,no element,no,genic,6.522429496
chr2L,20793371,20793751,20793615,MACS_peak_654-7,1848.62747,447.642353,both replicates,yes,0,no element,no,genic,10.45659479
chr2L,20793761,20794900,20794215,MACS_peak_654-8,14033.3477,6650.60685,both replicates,yes,4,+,yes,promoter & genic,207.4557967
chr2L,20797011,20797421,20797230,MACS_peak_655-1,335.22412,701.272895,both replicates,yes,0,no element,no,promoter,1.141301349
chr2L,20797431,20797581,20797565,MACS_peak_655-2,54.6269743,228.471977,replicate 1,yes,0,no element,no,promoter,53.29858939
chr2L,20797591,20797921,20797745,MACS_peak_655-3,634.461827,763.739158,replicate 1,yes,0,no element,no,genic,515.1168878
chr2L,20797931,20798281,20798000,MACS_peak_655-4,237.857347,438.733529,replicate 1,yes,0,no element,no,genic,225.2777971
chr2L,20798291,20798850,20798465,MACS_peak_655-5,675.566225,794.224913,none,yes,2,+,yes,genic,4.851149797
chr2L,20799531,20799621,20799585,MACS_peak_656-1,93.8279089,162.232074,none,yes,0,no element,no,genic,3.404186949
chr2L,20799631,20799971,20799765,MACS_peak_656-2,292.693931,177.716308,none,yes,0,no element,no,genic,4.158482149
chr2L,20799981,20800181,20800125,MACS_peak_656-3,130.224505,216.181862,replicate 1,yes,0,no element,no,genic,3.761617452
chr2L,20800191,20801100,20800615,MACS_peak_656-4,3366.9155,2015.77519,both replicates,yes,0,no element,no,genic,6.054078698
chr2L,20803441,20803521,20803470,MACS_peak_657-1,126.909375,146.281267,replicate 1,yes,0,no element,no,genic,14.0974334
chr2L,20803531,20803611,20803545,MACS_peak_657-2,113.273791,35.6384078,replicate 1,yes,0,no element,no,genic,12.2314125
chr2L,20803621,20804471,20803975,MACS_peak_657-3,7083.13567,3317.72177,both replicates,yes,1,+,yes,genic,4.311312899
chr2L,20804481,20804570,20804540,MACS_peak_657-4,95.1514913,115.081333,replicate 1,yes,0,no element,no,genic,5.381128147
chr2L,20821271,20822271,20821775,MACS_peak_658-1,12065.757,6350.51259,both replicates,yes,6,-,yes,intergenic,1.1314428
chr2L,20822281,20822451,20822425,MACS_peak_658-2,157.344439,261.947926,both replicates,yes,0,no element,no,intergenic,1.4371043
chr2L,20822461,20823141,20822775,MACS_peak_658-3,8060.09551,3814.37674,both replicates,yes,1,-,yes,intergenic,22.02739155
chr2L,20823151,20823410,20823205,MACS_peak_658-4,199.539338,204.83944,replicate 1,yes,0,no element,no,intergenic,8.622625798
chr2L,20823511,20824211,20823955,MACS_peak_659-1,3662.72331,1359.95039,both replicates,yes,2,-,yes,promoter,16.87796251
chr2L,20824221,20825081,20824585,MACS_peak_659-2,10477.0362,3758.49892,both replicates,yes,0,no element,no,genic,68.83065125
chr2L,20825091,20826040,20825455,MACS_peak_659-3,8706.1238,4552.02475,both replicates,yes,0,no element,no,promoter & genic,110.67184
chr2L,20829071,20829861,20829555,MACS_peak_660-1,11113.8558,5764.78553,both replicates,yes,0,no element,no,promoter,51.43256883
chr2L,20829871,20830471,20830120,MACS_peak_660-2,2418.96191,1437.46789,both replicates,yes,0,no element,no,genic,34.3697243
chr2L,20830481,20830761,20830585,MACS_peak_660-3,213.668123,470.918277,replicate 1,yes,0,no element,no,genic,33.09530921
chr2L,20830771,20831901,20831355,MACS_peak_660-4,14672.4703,9088.44612,both replicates,yes,0,no element,no,genic,164.6926728
chr2L,20831911,20831970,20831935,MACS_peak_660-5,112.52102,114.785741,none,yes,0,no element,no,genic,6.564339906
chr2L,20864241,20864681,20864530,MACS_peak_661-1,347.535783,473.327367,replicate 1,no,0,no element,no,intergenic,24.04376678
chr2L,20864691,20864961,20864845,MACS_peak_661-2,533.854036,461.526934,replicate 1,no,1,+,no,promoter,30.36407265
chr2L,20864971,20865530,20865155,MACS_peak_661-3,806.608482,907.887986,replicate 1,yes,0,no element,no,promoter,51.22058654
chr2L,20885631,20886411,20886135,MACS_peak_662-1,1748.72187,1064.93921,replicate 1,yes,2,+,yes,promoter & genic,8.102505997
chr2L,20886421,20886620,20886495,MACS_peak_662-2,51.7346832,237.479949,replicate 1,yes,0,no element,no,genic,9.305434898
chr2L,20890011,20890181,20890125,MACS_peak_663-1,86.8199403,311.551104,replicate 1,yes,0,no element,no,genic,16.7054147
chr2L,20890191,20890691,20890465,MACS_peak_663-2,1344.90686,761.061756,replicate 1,yes,2,-,yes,promoter & genic,24.86954807
chr2L,20890701,20890870,20890820,MACS_peak_663-3,86.2101151,20.2304166,replicate 1,yes,0,no element,no,promoter & genic,14.45238756
chr2L,20896561,20896951,20896715,MACS_peak_664-1,422.988546,317.116228,replicate 1,yes,0,no element,no,genic,7.695782751
chr2L,20896961,20897311,20897195,MACS_peak_664-2,590.430039,432.517252,replicate 1,yes,0,no element,no,genic,18.2140051
chr2L,20897321,20897681,20897545,MACS_peak_664-3,942.603933,645.834988,replicate 1,yes,0,no element,no,genic,13.148397
chr2L,20897691,20897950,20897735,MACS_peak_664-4,168.386233,81.7556449,replicate 1,yes,0,no element,no,genic,8.980056301
chr2L,20911031,20911211,20911060,MACS_peak_665-1,94.8190886,257.947293,replicate 1,no,0,no element,no,genic,8.765597999
chr2L,20911221,20911790,20911445,MACS_peak_665-2,758.076677,665.841309,replicate 1,no,1,-,no,genic,9.539610296
chr2L,20912961,20913181,20913025,MACS_peak_666-1,95.3113857,69.6257724,replicate 1,yes,0,no element,no,genic,23.25003745
chr2L,20913191,20913650,20913405,MACS_peak_666-2,2420.02912,964.090358,both replicates,yes,0,no element,no,genic,24.54416956
chr2L,20913741,20913931,20913850,MACS_peak_667-1,90.2148009,243.254285,replicate 1,yes,0,no element,no,genic,20.28214949
chr2L,20913941,20914530,20914225,MACS_peak_667-2,909.140113,696.25313,replicate 1,yes,0,no element,no,genic,13.48363414
chr2L,20916461,20916571,20916485,MACS_peak_668-1,76.4124181,202.428666,replicate 1,no,0,no element,no,genic,27.7437568
chr2L,20916581,20917071,20916875,MACS_peak_668-2,871.138164,647.302426,replicate 1,no,0,no element,no,genic,26.17353885
chr2L,20917081,20917731,20917535,MACS_peak_668-3,7515.87556,3629.41372,both replicates,yes,0,no element,no,promoter & genic,148.3348296
chr2L,20917741,20918281,20918045,MACS_peak_668-4,5647.74881,2285.8807,both replicates,yes,2,+,yes,genic,18.76370054
chr2L,20918291,20918701,20918505,MACS_peak_668-5,937.399227,685.841314,replicate 1,yes,0,no element,no,genic,25.40938501
chr2L,20918711,20918880,20918825,MACS_peak_668-6,125.926243,84.0154022,replicate 1,yes,0,no element,no,genic,44.72525713
chr2L,20922181,20922341,20922205,MACS_peak_669-1,64.206777,271.999647,none,no,0,no element,no,genic,4.22996825
chr2L,20922351,20922691,20922560,MACS_peak_669-2,485.632322,566.673429,replicate 1,no,0,no element,no,genic,25.04209593
chr2L,20922701,20923290,20922905,MACS_peak_669-3,2007.79728,1454.13326,replicate 1,no,0,no element,no,promoter,128.609758
chr2L,20935751,20935791,20935765,MACS_peak_670-1,48.3877108,168.893406,replicate 1,no,0,no element,no,intergenic,0.988470599
chr2L,20935801,20936540,20936155,MACS_peak_670-2,2359.56361,887.48751,both replicates,no,0,no element,no,intergenic,1.427245751
chr2L,21039521,21040211,21039990,MACS_peak_671-1,1109.47618,1054.82261,replicate 1,yes,0,no element,no,genic,8.918428749
chr2L,21040221,21040420,21040270,MACS_peak_671-2,141.355344,121.7497,replicate 1,no,0,no element,no,genic,10.51822235
chr2L,21041881,21042031,21041900,MACS_peak_672-1,9.08671098,30.758456,none,no,0,no element,no,genic,3.322842255
chr2L,21042041,21042430,21042285,MACS_peak_672-2,1169.36585,885.11583,none,no,0,no element,no,genic,2.425574899
chr2L,21050851,21051051,21050915,MACS_peak_673-1,104.500221,182.859224,none,no,0,no element,no,genic,11.3834378
chr2L,21051061,21051560,21051165,MACS_peak_673-2,556.813262,650.434331,none,yes,0,no element,no,genic,10.599567
chr2L,21051631,21052481,21052195,MACS_peak_674-1,3485.67187,2151.69232,both replicates,yes,0,no element,no,promoter,6.635826051
chr2L,21052491,21052600,21052595,MACS_peak_674-2,201.26666,84.5005763,replicate 1,yes,0,no element,no,promoter,0.764153749
chr2L,21095901,21096181,21096025,MACS_peak_675-1,200.398532,329.86435,none,no,0,no element,no,genic,9.682582498
chr2L,21096191,21096431,21096255,MACS_peak_675-2,226.12889,175.430429,both replicates,yes,0,no element,no,genic,10.7326806
chr2L,21096441,21097251,21096815,MACS_peak_675-3,12539.7881,6743.69535,both replicates,yes,0,no element,no,promoter & genic,101.9136238
chr2L,21097261,21097440,21097335,MACS_peak_675-4,110.098469,124.018846,replicate 1,yes,0,no element,no,genic,10.31362259
chr2L,21107471,21107871,21107780,MACS_peak_676-1,434.012417,610.453815,replicate 1,yes,0,no element,no,promoter & genic,265.169192
chr2L,21107881,21108451,21108145,MACS_peak_676-2,1525.1051,1224.18641,replicate 1,yes,0,no element,no,genic,55.82275064
chr2L,21108461,21109000,21108660,MACS_peak_676-3,488.283398,523.254314,replicate 1,yes,0,no element,no,genic,31.14794375
chr2L,21140931,21141571,21141545,MACS_peak_677-1,929.178585,989.21948,both replicates,yes,0,no element,no,genic,15.8894919
chr2L,21141581,21142571,21141945,MACS_peak_677-2,10472.6908,5523.21204,both replicates,yes,2,-,yes,genic,26.00099105
chr2L,21142581,21142720,21142710,MACS_peak_677-3,125.076938,634.13945,none,yes,0,no element,no,promoter,0.15283075
chr2L,21178271,21178441,21178400,MACS_peak_678-1,59.3183846,216.290611,replicate 1,yes,0,no element,no,genic,32.12655577
chr2L,21178451,21179310,21178705,MACS_peak_678-2,2041.46223,1643.38916,replicate 1,yes,5,+,yes,genic,36.04100399
chr2L,21218231,21219350,21218895,MACS_peak_679-1,2186.57103,1345.4522,both replicates,yes,3,-,yes,promoter & genic,11.262659
chr2L,21221001,21221181,21221055,MACS_peak_680-1,78.0729787,181.182391,none,yes,0,no element,no,promoter,1.580076501
chr2L,21221191,21222391,21221975,MACS_peak_680-2,14628.0796,7906.25814,both replicates,yes,2,+,yes,genic,31.25148171
chr2L,21222401,21222971,21222570,MACS_peak_680-3,578.497659,1309.6714,replicate 1,yes,0,no element,no,genic,6.756604895
chr2L,21222981,21223321,21223155,MACS_peak_680-4,281.770112,706.647363,none,yes,0,no element,no,genic,8.398308948
chr2L,21223331,21223601,21223475,MACS_peak_680-5,208.001319,394.545533,none,no,0,no element,no,genic,9.43854855
chr2L,21223611,21223760,21223660,MACS_peak_680-6,61.6995237,132.133815,none,no,0,no element,no,genic,11.7112927
chr2L,21236641,21236721,21236645,MACS_peak_681-1,85.6819542,428.381505,none,no,0,no element,no,genic,1.1314428
chr2L,21236731,21238391,21237825,MACS_peak_681-2,26952.1518,15806.385,both replicates,yes,3,+,yes,genic,7.725358397
chr2L,21238401,21238691,21238535,MACS_peak_681-3,402.540903,354.897025,both replicates,yes,0,no element,no,genic,2.630174652
chr2L,21238701,21238880,21238845,MACS_peak_681-4,109.221763,259.090984,none,yes,0,no element,no,genic,3.3228423
chr2L,21250021,21250181,21250125,MACS_peak_682-1,59.4532181,90.6248901,replicate 1,yes,0,no element,no,genic,3.423904046
chr2L,21250191,21251561,21250825,MACS_peak_682-2,33523.03,15835.398,both replicates,yes,4,-,yes,genic,11.47711726
chr2L,21251571,21252500,21251955,MACS_peak_682-3,3589.65497,1863.98434,both replicates,yes,0,no element,no,genic,4.616974398
chr2L,21307741,21308201,21308110,MACS_peak_683-1,417.737065,837.192812,none,no,0,no element,no,genic,8.215902507
chr2L,21308211,21308491,21308345,MACS_peak_683-2,308.262866,486.520659,none,no,1,-,no,genic,7.910241008
chr2L,21308501,21308961,21308765,MACS_peak_683-3,492.590863,765.052213,replicate 1,yes,1,-,yes,genic,8.072930351
chr2L,21308971,21309921,21309555,MACS_peak_683-4,7320.129,3523.63155,both replicates,yes,4,-,yes,genic,308.5510213
chr2L,21309931,21310390,21310050,MACS_peak_683-5,531.358542,520.182204,replicate 1,yes,0,no element,no,promoter,97.6393162
chr2L,21310691,21310931,21310895,MACS_peak_684-1,247.289617,260.330136,replicate 1,yes,0,no element,no,genic,265.1026595
chr2L,21310941,21311231,21311105,MACS_peak_684-2,380.153829,770.740177,replicate 1,no,0,no element,no,genic,244.3817356
chr2L,21311241,21311670,21311395,MACS_peak_684-3,446.461696,315.807992,replicate 1,no,0,no element,no,genic,149.5747182
chr2L,21312601,21312661,21312630,MACS_peak_685-1,94.8649883,414.497304,none,no,0,no element,no,genic,96.5029218
chr2L,21312671,21314001,21313305,MACS_peak_685-2,10142.8242,5713.36055,both replicates,yes,4,-,yes,genic,76.27006526
chr2L,21314011,21314771,21314305,MACS_peak_685-3,16631.2931,10238.8934,both replicates,yes,1,+,yes,promoter & genic,114.5419019
chr2L,21314781,21314991,21314885,MACS_peak_685-4,196.085301,227.32348,replicate 1,yes,0,no element,no,genic,22.85069652
chr2L,21315001,21315370,21315125,MACS_peak_685-5,373.60163,225.357753,none,yes,0,no element,no,genic,42.69654687
chr2L,21315631,21316160,21315985,MACS_peak_686-1,783.100392,962.432271,replicate 1,no,0,no element,no,genic,29.96473199
chr2L,21400161,21400481,21400305,MACS_peak_687-1,269.339912,289.685625,none,no,0,no element,no,intergenic,0.60146445
chr2L,21400491,21401251,21401035,MACS_peak_687-2,1350.37471,930.686033,replicate 1,no,2,+,no,intergenic,5.800186202
chr2L,21401261,21402050,21401655,MACS_peak_687-3,5589.00261,2698.62604,both replicates,no,2,+,no,intergenic,2.874208599
chr2L,21572561,21573311,21572925,MACS_peak_688-1,1861.81992,841.016337,replicate 1,no,2,-,no,promoter,1.050098151
chr2L,21573321,21573611,21573460,MACS_peak_688-2,220.2261,589.968141,replicate 1,no,0,no element,no,genic,230.4321797
chr2L,21573621,21573810,21573690,MACS_peak_688-3,115.628926,277.996856,none,no,0,no element,no,genic,220.0790777
chr2L,21617731,21617891,21617750,MACS_peak_689-1,61.36874,236.404397,replicate 1,no,0,no element,no,genic,2.6400332
chr2L,21617901,21618411,21618175,MACS_peak_689-2,2582.62161,1408.7334,replicate 1,no,1,+,no,genic,12.42367744
chr2L,21618421,21619380,21618845,MACS_peak_689-3,4683.79693,3114.12194,both replicates,no,5,-,no,promoter & genic,43.21419051
